X,Y,NAME,URL,LINE
-73.98793683,40.74964489,Herald Sq - 34th St,http://www.mta.info/nyct/subway/index.html,N-Q-R
-73.98168088,40.73097531,1st Ave,http://www.mta.info/nyct/subway/index.html,L
-73.979189,40.752769,Grand Central - 42nd St,http://www.mta.info/nyct/subway/index.html,S
-73.986229,40.75598333,Times Sq - 42nd St,http://www.mta.info/nyct/subway/index.html,S
-73.984591,40.75418433,42nd St - Bryant Pk,http://www.mta.info/nyct/subway/index.html,B-D-F-M
-73.986768,40.75461233,Times Sq - 42nd St,http://www.mta.info/nyct/subway/index.html,N-Q-R
-73.951424,40.71277433,Metropolitan Ave,http://www.mta.info/nyct/subway/index.html,G
-73.940497,40.71157633,Grand St,http://www.mta.info/nyct/subway/index.html,L
-73.943944,40.71457633,Graham Ave,http://www.mta.info/nyct/subway/index.html,L
-73.950248,40.71407233,Lorimer St,http://www.mta.info/nyct/subway/index.html,L
-73.956665,40.71717433,Bedford Ave,http://www.mta.info/nyct/subway/index.html,L
-73.95031226,40.70612691,Broadway,http://www.mta.info/nyct/subway/index.html,G
-73.947355,40.70384433,Lorimer St,http://www.mta.info/nyct/subway/index.html,J-M
-73.93979285,40.7073914,Montrose Ave,http://www.mta.info/nyct/subway/index.html,L
-73.9460547,40.74776845,23rd St - Ely Av,http://www.mta.info/nyct/subway/index.html,E-M
-73.9438156,40.74630537,Long Island City - Court Sq,http://www.mta.info/nyct/subway/index.html,G
-73.9496,40.744129,21st St,http://www.mta.info/nyct/subway/index.html,G
-73.93285138,40.75276339,39th Ave,http://www.mta.info/nyct/subway/index.html,N-Q
-73.929862,40.75644233,36th Ave,http://www.mta.info/nyct/subway/index.html,N-Q
-73.95036,40.82655133,145th St,http://www.mta.info/nyct/subway/index.html,1
-73.94489,40.83404133,157th St,http://www.mta.info/nyct/subway/index.html,1
-73.972323,40.79391933,96th St,http://www.mta.info/nyct/subway/index.html,1/2/2003
-73.968379,40.79944633,103rd St,http://www.mta.info/nyct/subway/index.html,1
-73.951822,40.79907533,Central Park North (110th St),http://www.mta.info/nyct/subway/index.html,3-Feb
-73.96137008,40.79606107,103rd St,http://www.mta.info/nyct/subway/index.html,A-B-C
-73.95806671,40.80058189,Cathedral Pkwy (110th St),http://www.mta.info/nyct/subway/index.html,A-B-C
-73.98197,40.77845333,72nd St,http://www.mta.info/nyct/subway/index.html,1/2/2003
-73.97633658,40.77551973,72nd St,http://www.mta.info/nyct/subway/index.html,A-B-C
-73.97209795,40.78134642,81st St,http://www.mta.info/nyct/subway/index.html,A-B-C
-73.83692369,40.71804499,75th Ave,http://www.mta.info/nyct/subway/index.html,E-F
-73.83037027,40.71403515,Kew Gardens - Union Tpke,http://www.mta.info/nyct/subway/index.html,E-F
-73.96882849,40.78582338,86th St,http://www.mta.info/nyct/subway/index.html,A-B-C
-73.96460246,40.79161913,96th St,http://www.mta.info/nyct/subway/index.html,A-B-C
-73.966847,40.80396733,Cathedral Pkwy (110th St),http://www.mta.info/nyct/subway/index.html,1
-73.96411,40.80772233,116th St - Columbia University,http://www.mta.info/nyct/subway/index.html,1
-73.945495,40.80775433,125th St,http://www.mta.info/nyct/subway/index.html,3-Feb
-73.94077,40.81422933,135th St,http://www.mta.info/nyct/subway/index.html,3-Feb
-73.92738475,40.81830378,149th St - Grand Concourse,http://www.mta.info/nyct/subway/index.html,4
-73.949625,40.80209833,116th St,http://www.mta.info/nyct/subway/index.html,3-Feb
-73.905227,40.85041033,Tremont Ave,http://www.mta.info/nyct/subway/index.html,B-D
-73.900741,40.85609333,182nd-183rd Sts,http://www.mta.info/nyct/subway/index.html,B-D
-73.953676,40.82200833,137th St - City College,http://www.mta.info/nyct/subway/index.html,1
-73.936245,40.82042133,145th St,http://www.mta.info/nyct/subway/index.html,3
-73.911794,40.84848033,176th St,http://www.mta.info/nyct/subway/index.html,4
-73.907684,40.85345333,Burnside Ave,http://www.mta.info/nyct/subway/index.html,4
-73.9134,40.83930633,170th St,http://www.mta.info/nyct/subway/index.html,B-D
-73.910136,40.84590033,174th-175th Sts,http://www.mta.info/nyct/subway/index.html,B-D
-73.940133,40.84055633,168th St,http://www.mta.info/nyct/subway/index.html,1
-73.933596,40.84950533,181st St,http://www.mta.info/nyct/subway/index.html,1
-73.939561,40.84071933,168th St,http://www.mta.info/nyct/subway/index.html,A-C
-73.929412,40.85522534,191st St,http://www.mta.info/nyct/subway/index.html,1
-73.939704,40.84739133,175th St,http://www.mta.info/nyct/subway/index.html,A
-73.776013,40.59294333,Beach 44th St,http://www.mta.info/nyct/subway/index.html,A
-73.788522,40.59237433,Beach 60th St,http://www.mta.info/nyct/subway/index.html,A
-73.82758075,40.58326877,Beach 105th St,http://www.mta.info/nyct/subway/index.html,A-S
-73.82052059,40.58538602,Beach 98th St,http://www.mta.info/nyct/subway/index.html,A-S
-73.83559009,40.5809562,Rockaway Park - Beach 116 St,http://www.mta.info/nyct/subway/index.html,A-S
-73.8136514,40.5880919,Beach 90th St,http://www.mta.info/nyct/subway/index.html,A-S
-73.768175,40.59539833,Beach 36th St,http://www.mta.info/nyct/subway/index.html,A
-73.761353,40.60006633,Beach 25th St,http://www.mta.info/nyct/subway/index.html,A
-73.803289,40.70757233,Parsons Blvd,http://www.mta.info/nyct/subway/index.html,F
-73.7934742,40.71051784,169th St,http://www.mta.info/nyct/subway/index.html,F
-73.8627,40.74986533,103rd St - Corona Plaza,http://www.mta.info/nyct/subway/index.html,7
-73.855334,40.75173033,111th St,http://www.mta.info/nyct/subway/index.html,7
-73.8616182,40.72976431,63rd Dr - Rego Park,http://www.mta.info/nyct/subway/index.html,E-M-R
-73.86505,40.67704433,Grant Ave,http://www.mta.info/nyct/subway/index.html,A-S
-73.979917,40.78393433,79th St,http://www.mta.info/nyct/subway/index.html,2-Jan
-73.903097,40.675345,Atlantic Ave,http://www.mta.info/nyct/subway/index.html,L
-74.002906,40.73342233,Christopher St - Sheridan Sq,http://www.mta.info/nyct/subway/index.html,2-Jan
-73.904098,40.81211833,E 149th St,http://www.mta.info/nyct/subway/index.html,6
-73.825798,40.68595133,Ozone Park - Lefferts Blvd,http://www.mta.info/nyct/subway/index.html,A-S
-73.987691,40.75547733,Times Sq - 42nd St,http://www.mta.info/nyct/subway/index.html,7-7 Express
-73.959874,40.77362033,77th St,http://www.mta.info/nyct/subway/index.html,4-6-6 Express
